_RAJ2000	_DEJ2000	TYC1	TYC2	TYC3	pmRA	pmDE	BTmag	VTmag	HIP	RA(ICRS)	DE(ICRS)
305.928488	38.475918	3152	676	1	-2.8	-20.3	12.128	12.094		305.92849611	38.47596500
305.941504	38.500873	3152	1451	1	-5.5	-5.6	10.198	9.337		305.94151972	38.50088583
305.942678	38.521260	3152	1367	1	-6.7	0.0	12.019	11.525		305.94269750	38.52126000
305.962521	38.492860	3152	40	1	-13.3	-11.0	9.113	8.645	100586	305.96256000	38.49288528
305.979257	38.466345	3152	712	1	-5.2	-5.6	10.180	9.482	100600	305.97927222	38.46635750
305.979509	38.485578	3152	522	1	-5.8	-7.3	11.823	11.503		305.97952583	38.48559500
305.994691	38.432574	3152	54	1	-0.9	-5.5	12.964	11.652		305.99469333	38.43258639
305.995611	38.560021	3152	1137	1	1.3	3.3	10.903	10.528		305.99560750	38.56001389
305.998110	38.530005	3152	1309	1	-2.6	-4.9	11.281	10.462		305.99811806	38.53001667
305.998589	38.502686	3152	1423	1	2.1	-4.3	12.056	11.594		305.99858306	38.50269611
306.005409	38.513765	3152	1369	1	-4.8	-7.2	9.746	9.042		306.00542306	38.51378167
306.019406	38.538139	3152	1325	1	-5.0	-4.9	9.919	9.016		306.01942028	38.53815000
306.027282	38.492559	3152	874	1	-2.8	-4.4	9.923	9.108	100612	306.02728972	38.49256861
306.071835	38.520494	3152	1467	1	1.1	-1.0	12.760	11.780		306.07183222	38.52049667
306.105109	38.485246	3152	236	1	-1.4	-5.2	10.293	10.181		306.10511361	38.48525833
306.108385	38.599753	3152	1019	1	-3.4	3.6	11.923	11.358		306.10839472	38.59974472
306.136535	38.510809	3152	1415	1	-4.3	-3.0	10.809	10.535		306.13654778	38.51081583
