x,y,name
286.28542,414.38867,3152-40-2
92.748155,354.15589,3152-54-2
230.45319,71.866736,3152-236-1
259.91667,375.44429,3152-522-1
241.75303,501.62167,3152-676-1
200.57171,381.65742,3152-712-1
270.61357,257.92158,3152-874-1
583.4262,31.078275,3152-1019-1
486.17383,314.86589,3152-1137-1
392.89739,317.55713,3152-1309-1
413.18327,263.74261,3152-1325-1
378.53655,454.04564,3152-1367-1
341.07834,304.63895,3152-1369-1
308.4102,324.34196,3152-1423-1
315.84113,462.84839,3152-1451-1
346.82278,142.15938,3152-1467-1
