_Glon	_Glat	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
133.3442	+00.0389	034.835133	+61.120991	02192043+6107155	16.974		15.292	0.106	14.239	0.090	UAA	022	011	000	0	0
133.3417	+00.0422	034.832579	+61.124966	02191981+6107298	15.820	0.063	14.053	0.040	13.274	0.031	AAA	222	111	000	0	0
133.3542	+00.0422	034.856937	+61.120834	02192566+6107150	18.317		16.165		15.340	0.151	UUC	002	001	000	0	0
133.3541	+00.0447	034.858394	+61.123180	02192601+6107234	18.293		16.278	0.161	14.858	0.107	UCB	022	011	000	0	0
133.3477	+00.0375	034.841009	+61.118584	02192184+6107069	14.362	0.045	12.412	0.045	11.044	0.025	AAA	222	111	000	1	0
133.3424	+00.0365	034.829935	+61.119396	02191918+6107098	16.616		16.119	0.155	14.836	0.104	UCA	022	011	000	0	0
133.3443	+00.0405	034.836449	+61.122482	02192074+6107209	16.135	0.085	15.394	0.120	15.458	0.205	ABC	222	111	00c	0	0
133.3487	+00.0425	034.846349	+61.122910	02192312+6107224	17.316	0.258	15.495	0.085	14.223	0.063	DAA	222	111	c00	0	0
133.3520	+00.0428	034.853145	+61.122124	02192475+6107196	16.280		14.649	0.081	13.119	0.057	UAA	622	022	0cc	0	0
133.3511	+00.0432	034.851606	+61.122772	02192438+6107219	16.234		15.163	0.079	13.791	0.064	UAA	622	022	0cc	0	0
133.3485	+00.0405	034.844669	+61.121048	02192272+6107157	16.575		15.956	0.143	14.791	0.121	UBB	022	011	0cc	2	0
133.3427	+00.0332	034.828195	+61.116192	02191876+6106582	16.175	0.089	15.749	0.110	15.298	0.151	ABC	222	111	000	0	0
133.3446	+00.0275	034.828007	+61.110168	02191872+6106366	16.274	0.095	15.172	0.054	14.854	0.102	AAA	222	111	000	0	0
133.3472	+00.0473	034.846831	+61.127975	02192323+6107407	11.030	0.026	10.761	0.032	10.666	0.018	AAA	222	111	000	0	0
