Sp.,V-K,J-K,H-K,K-L,K-M
o6-8,-0.93,-0.21,-0.05,-0.04,
o9,-0.89,-0.19,-0.05,-0.03,
o9.5,-0.87,-0.18,-0.05,-0.03,
b0,-0.85,-0.17,-0.05,-0.03,
b0.5,-0.79,-0.15,-0.04,-0.02,
b1,-0.76,-0.14,-0.14,-0.02,
b2,-0.67,-0.13,-0.04,-0.02,-0.08
b3,-0.57,-0.11,-0.03,-0.02,-0.07
b4,-0.5,-0.1,-0.03,-0.02,-0.06
b5,-0.43,-0.08,-0.02,-0.01,-0.05
b6,-0.37,-0.07,-0.02,-0.01,-0.04
b7,-0.3,-0.05,-0.02,-0.01,-0.03
b8,-0.25,-0.04,-0.01,-0.01,-0.02
b9,-0.14,-0.02,-0.01,0,-0.01
a0,0,0.01,0,0,0
a1,0.06,0.02,0,0,0
a2,0.13,0.04,0.01,0,0
a3,0.2,0.05,0.01,0.01,0
a4,0.28,0.07,0.02,0.01,-0.01
a5,0.35,0.09,0.02,0.01,-0.01
a6,0.4,0.1,0.02,0.01,-0.01
a7,0.45,0.12,0.02,0.01,-0.01
a8,0.56,0.14,0.03,0.02,-0.02
a9,0.68,0.17,0.04,0.02,-0.02
f0,0.79,0.2,0.04,0.02,-0.02
f2,0.93,0.24,0.05,0.03,-0.03
f5,1.01,0.26,0.06,0.03,-0.03
f8,1.12,0.29,0.06,0.03,-0.03
g0,1.22,0.31,0.07,0.04,-0.03
g3,1.49,0.37,0.08,0.04,-0.04
g8,1.6,0.41,0.09,0.05,-0.04
k0,1.75,0.47,0.1,0.05,-0.04
k1,2,0.54,0.11,0.05,-0.04
k2,2.25,0.62,0.13,0.06,
k3,2.5,0.67,0.14,0.07,
k4,2.75,0.72,0.15,0.08,
k5,3,0.77,0.16,0.1,
m0,3.25,0.83,0.18,0.13,
m1,3.5,0.86,0.19,0.15,
m2,3.75,0.89,0.21,0.15,
m3,4,0.92,0.26,0.16,
m4,4.25,0.9,0.28,0.16,
m5,4.5,0.9,0.29,0.18,
m6,4.75,0.88,0.3,,
m7,5,0.89,0.31,,
m8,5.25,0.9,0.33,,
,5.5,0.92,0.34,,
,5.75,0.95,0.36,,
,6,0.98,0.37,,
,6.25,1.01,0.38,,
,6.5,1.05,0.4,,
,6.75,1.09,0.41,,
,7,1.11,0.42,,
,7.25,1.14,0.43,,
