 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
9,DqCep_V_15s_001_out.FIT,1,0,58024.59935,2458024.599,2458024.599,2458024.605,NaN,2.125226,27.939581,5.325188,15,0,0,12,20,30,1.803008,0.218051,4.586087,0.002767,0.000872,0.018333,651.615651,250.158991,250.158991,588101.2065,754.316575,624.223867,115.625167,624.723867,394.874833,1060351.436,893.468168,7.328507,0.001665,1186.781437,64616,2547.192731,211.616881,5.237784,5.004856,5.470712,299.488241,0.970337,662.258155,281.381306,662.758155,229.118694,105279.6356,396.929548,9.76,0.004086,265.235068,8205.5,440.388216,208.494745,5.07303,5.001679,5.144381,306.442085,0.990868,136.021771,375.80618,136.521771,134.69382,482821.5709,641.436224,8.2,0.001441,752.719527,45544,1275.401648,214.255339,4.519506,4.243445,4.795567,82.002128,0.983969
10,DqCep_V_15s_002_out.FIT,2,0,58024.59966,2458024.6,2458024.6,2458024.605,NaN,2.120145,28.013202,5.325188,15,0,0,12,20,30,1.856147,0.218345,4.579916,0.002839,0.00087,0.018248,653.772629,250.980568,250.980568,586363.6843,753.284038,625.820301,116.543929,626.320301,393.956071,1088377.304,903.58169,7.296971,0.001659,1204.514562,64618.25,2609.151432,211.844595,5.391263,5.138089,5.644437,294.910065,0.978903,663.965002,282.28563,664.465002,228.21437,105084.6754,394.558363,9.76,0.004069,266.334933,7205.75,439.959161,207.98416,5.280971,5.084807,5.477136,293.773833,0.987919,137.626273,376.770831,138.126273,133.729169,481279.0089,641.685702,8.2,0.001447,750.022959,40643,1275.376652,215.290729,4.76651,4.381474,5.151547,85.056791,0.973453
11,DqCep_V_15s_003_out.FIT,3,0,58024.59996,2458024.6,2458024.6,2458024.606,NaN,2.115283,28.084032,5.325188,15,0,0,12,20,30,1.87723,0.221257,4.519634,0.002874,0.000878,0.017942,653.070501,251.901775,251.901775,581982.3664,749.844443,627.519081,119.425327,628.019081,391.074673,1092514.635,903.955409,7.284708,0.001661,1208.593503,63706.25,2672.300113,211.681565,5.538411,5.367528,5.709294,301.652347,0.981168,665.689422,285.094695,666.189422,225.405305,105438.5768,394.052026,9.76,0.00405,267.575269,6573,440.876659,207.605472,5.719944,5.612431,5.827457,68.596845,0.997376,139.328526,379.705162,139.828526,130.794838,476543.7896,637.957436,8.2,0.001453,746.983675,35422.25,1267.259934,215.286888,4.895355,4.638886,5.151824,83.931434,0.988576
12,DqCep_V_15s_004_out.FIT,4,0,58024.60027,2458024.6,2458024.6,2458024.606,NaN,2.110265,28.157521,5.325188,15,0,0,12,20,30,1.844238,0.213767,4.67799,0.002817,0.00086,0.018817,654.618903,248.598939,248.598939,587589.5651,752.741089,630.496485,122.200512,630.996485,388.299488,1083654.941,901.748579,7.303959,0.001657,1201.726253,64616.75,2608.598451,211.131767,5.375605,5.221906,5.529303,299.513308,0.987674,668.634158,287.898753,669.134158,222.601247,103485.4892,393.001457,9.76,0.004115,263.320879,7271,436.21696,208.275354,5.679494,5.934415,5.424573,32.550406,0.954721,142.344835,382.469695,142.844835,128.030305,484104.0759,642.003896,8.2,0.001439,754.051617,43022,1292.186526,214.003728,4.777536,4.622539,4.932533,65.405582,0.990164
13,DqCep_V_15s_005_out.FIT,5,0,58024.60058,2458024.601,2458024.6,2458024.606,NaN,2.105278,28.230942,4.88976,15,0,0,12,20,30,1.839165,0.21595,4.630704,0.002817,0.000865,0.01854,652.819685,249.772668,249.772668,584693.1466,750.682454,633.214876,124.682854,633.714876,385.817146,1075347.019,898.468387,7.30695,0.001662,1196.866839,64616.75,2584.523179,210.6887,5.261197,5.025837,5.496558,294.251838,0.981838,671.330248,290.40307,671.830248,220.09693,103840.1573,392.081706,9.76,0.004092,264.843158,7553.25,439.283889,208.527984,5.157493,5.09536,5.219625,292.966938,0.9988,144.99635,385.002016,145.49635,125.497984,480852.9893,640.153171,8.2,0.001444,751.153022,42756.5,1288.801339,215.468774,4.558487,4.224389,4.892586,76.779179,0.973485
14,DqCep_V_15s_006_out.FIT,6,0,58024.6009,2458024.601,2458024.601,2458024.607,NaN,2.100323,28.304295,5.325188,15,0,0,12,20,30,1.850168,0.218668,4.573138,0.002827,0.000868,0.018157,654.428754,251.860728,251.860728,587182.2266,752.85698,613.652967,113.823976,614.152967,396.676024,1086385.488,903.088424,7.300474,0.001658,1202.966906,54168.25,2610.185982,211.984023,5.709214,5.406717,6.011711,79.039812,0.987025,651.861147,279.558034,652.361147,230.941966,105359.3502,394.106464,9.76,0.004054,267.33728,5916.5,440.455199,207.359292,6.030756,6.196562,5.864951,35.65857,0.970579,125.567279,374.214773,126.067279,136.285227,481822.8764,641.462179,8.2,0.001445,751.132167,31923.5,1279.373068,215.74641,5.145707,4.697385,5.59403,66.692716,0.936614
15,DqCep_V_15s_007_out.FIT,7,0,58024.6012,2458024.601,2458024.601,2458024.607,NaN,2.095581,28.374868,4.88976,15,0,0,12,20,30,1.870231,0.219192,4.562212,0.002857,0.000871,0.018135,654.693756,251.563497,251.563497,585308.0341,751.455938,619.593135,118.867951,620.093135,391.632049,1094661.371,905.822021,7.288763,0.001657,1208.472908,51042.5,2627.359823,210.888806,5.756047,5.803033,5.709061,38.400965,0.994888,657.855649,284.484652,658.355649,226.015348,105229.3603,394.090623,9.76,0.004059,267.018179,5376.75,439.943584,207.135265,5.746009,5.853272,5.638745,36.726809,0.982826,131.400189,379.334385,131.900189,131.165615,480078.6737,639.827014,8.2,0.001446,750.325733,31366.75,1281.903333,215.061836,5.151275,5.235482,5.067068,40.54408,0.955485
16,DqCep_V_15s_008_out.FIT,8,0,58024.60151,2458024.602,2458024.601,2458024.607,NaN,2.090686,28.448087,5.325188,15,0,0,12,20,30,1.845224,0.21591,4.631564,0.002817,0.000862,0.018492,655.145418,250.457283,250.457283,588849.7145,753.964912,626.217496,123.624243,626.717496,386.875757,1086559.518,902.825804,7.303379,0.001656,1203.509595,51154.75,2603.773678,210.470774,5.793095,5.667944,5.918247,56.942484,0.988624,664.491369,289.311002,664.991369,221.188998,104562.375,393.727064,9.76,0.004081,265.570707,5098.75,441.256667,208.895833,6.018836,5.73028,6.307392,56.385446,0.93891,138.18267,384.116142,138.68267,126.383858,484287.3395,642.994625,8.2,0.001441,753.174787,32221.75,1281.998899,215.286697,5.218926,5.088443,5.34941,50.06922,0.919405
17,DqCep_V_15s_009_out.FIT,9,0,58024.60182,2458024.602,2458024.602,2458024.608,NaN,2.085823,28.521238,5.325188,15,0,0,12,20,30,1.864191,0.211178,4.735345,0.002848,0.000856,0.019196,654.620448,246.685774,246.685774,586463.5495,753.044715,602.402325,109.610034,602.902325,400.889966,1093280.149,904.719836,7.292276,0.001657,1208.418458,37127,2657.267338,211.45045,6.583281,7.181367,5.985194,26.390495,0.911234,640.741338,275.224428,641.241338,235.275572,102254.2709,391.625767,9.76,0.00415,261.102,4333.25,435.118071,208.390198,6.568064,7.110188,6.02594,27.63979,0.917132,114.424819,370.164681,114.924819,140.335319,484209.2786,643.199504,8.2,0.001441,752.813514,22480.25,1282.808921,216.26866,6.10616,6.703661,5.508659,31.940323,0.806117
18,DqCep_V_15s_010_out.FIT,10,0,58024.60212,2458024.602,2458024.602,2458024.608,NaN,2.081168,28.591615,5.325188,15,0,0,12,20,30,1.856891,0.217072,4.60677,0.002836,0.000867,0.01841,654.75997,250.235074,250.235074,587723.8454,754.205507,612.616898,117.562699,613.116898,392.937301,1091339.043,903.775292,7.296536,0.001657,1207.533612,40402.5,2648.252232,212.227582,6.646246,6.730808,6.561684,42.284686,0.927729,650.931249,283.190789,651.431249,227.309211,104823.9691,395.003474,9.76,0.004084,265.374803,4305.25,438.876652,207.986852,6.867364,7.504064,6.230665,23.306283,0.928371,124.609333,378.156096,125.109333,132.343904,482899.8763,642.493738,8.2,0.001444,751.602464,25201.5,1282.419978,216.415836,6.216451,6.34921,6.083692,42.108797,0.82044
